canonical_name,matched_name,country_hint,country_code,openalex_id,ror_id,match_status,source_names,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank,in_arwu_2025,in_qs_2027,in_usnews_2026_2027
South China University of Technology,South China University of Technology,China,CN,https://openalex.org/I90610280,https://ror.org/0530pts50,auto,South China University of Technology,101-150,,162,True,False,True
Southeast University,Southeast University,China,CN,https://openalex.org/I76569877,https://ror.org/04ct4d772,auto,Southeast University,101-150,,133,True,False,True
Southern University of Science and Technology,Southern University of Science and Technology,China,CN,https://openalex.org/I3045169105,https://ror.org/049tv2d57,auto,Southern University of Science and Technology,101-150,,119,True,False,True
Sun Yat-sen University,Sun Yat-sen University,China,CN,https://openalex.org/I157773358,https://ror.org/0064kty71,auto,Sun Yat-sen University,65,,74,True,False,True
Tianjin University,Tianjin University,China,CN,https://openalex.org/I162868743,https://ror.org/012tb2g32,auto,Tianjin University,101-150,,166,True,False,True
Tongji University,Tongji University,China,CN,https://openalex.org/I116953780,https://ror.org/03rc6as71,auto,Tongji University,101-150,146,110,True,True,True
Tsinghua University,Tsinghua University,China,CN,https://openalex.org/I99065089,https://ror.org/03cve4549,auto,Tsinghua University,18,14,6,True,True,True
University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,China,CN,https://openalex.org/I4210165038,https://ror.org/05qbk4x57,auto,University of Chinese Academy of Sciences,,,53,False,False,True
University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,China,CN,https://openalex.org/I150229711,https://ror.org/04qr3zq92,auto,University of Electronic Science and Technology of China,151-200,,152,True,False,True
"University of Science & Technology of China, CAS",University of Science and Technology of China,China,CN,https://openalex.org/I126520041,https://ror.org/04c4dkn09,auto,"University of Science & Technology of China, CAS; University of Science and Technology of China",40,134,59,True,True,True
Wuhan University,Wuhan University,China,CN,https://openalex.org/I37461747,https://ror.org/033vjfk17,auto,Wuhan University,81,165,85,True,True,True
Xi'an Jiaotong University,Xi'an Jiaotong University,China,CN,https://openalex.org/I87445476,https://ror.org/017zhmm22,auto,Xi'an Jiaotong University,92,,129,True,False,True
Xiamen University,Xiamen University,China,CN,https://openalex.org/I191208505,https://ror.org/00mcjh785,auto,Xiamen University,101-150,,176,True,False,True
Zhejiang University,Zhejiang University,China,CN,https://openalex.org/I76130692,https://ror.org/00a2xv884,auto,Zhejiang University,24,47,35,True,True,True
Zhengzhou University,Zhengzhou University,China,CN,https://openalex.org/I38877650,https://ror.org/04ypx8c21,auto,Zhengzhou University,151-200,,,True,False,False
"Eberhard Karls University, Tübingen",University of Tübingen,Germany,DE,https://openalex.org/I8087733,https://ror.org/03a1kwz48,manual,"Eberhard Karls University, Tübingen; University of Tuebingen",151-200,,193,True,False,True
Freie Universitaet Berlin,Freie Universität Berlin,Germany,DE,https://openalex.org/I75951250,https://ror.org/046ak2485,manual,Freie Universitaet Berlin; Freie Universität Berlin,,98,63,False,True,True
Goethe University Frankfurt,Goethe University Frankfurt,Germany,DE,https://openalex.org/I114090438,https://ror.org/04cvxnb49,auto,Goethe University Frankfurt,151-200,,,True,False,False
Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin,Germany,DE,https://openalex.org/I39343248,https://ror.org/01hcx6992,auto,Humboldt-Universität zu Berlin,,140,51,False,True,True
"KIT, Karlsruhe Institute of Technology",Karlsruhe Institute of Technology,Germany,DE,https://openalex.org/I102335020,https://ror.org/04t3en479,auto,"KIT, Karlsruhe Institute of Technology",,110,,False,True,False
Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,Germany,DE,https://openalex.org/I8204097,https://ror.org/05591te55,manual,Ludwig-Maximilians-Universität München; University of Munich,42,61,50,True,True,True
RWTH Aachen University,RWTH Aachen University,Germany,DE,https://openalex.org/I887968799,https://ror.org/04xfq0f34,auto,RWTH Aachen University,,104,,False,True,False
Technical University of Munich,Technical University of Munich,Germany,DE,https://openalex.org/I62916508,https://ror.org/02kkvpp62,auto,Technical University of Munich,45,25,73,True,True,True
Technische Universität Berlin (TU Berlin),Technische Universität Berlin,Germany,DE,https://openalex.org/I4577782,https://ror.org/03v4gjf40,auto,Technische Universität Berlin (TU Berlin),,158,,False,True,False
Technische Universität Dresden,Technische Universität Dresden,Germany,DE,https://openalex.org/I78650965,https://ror.org/042aqky30,auto,Technische Universität Dresden,,185,,False,True,False
University of Bonn,University of Bonn,Germany,DE,https://openalex.org/I135140700,https://ror.org/041nas322,auto,University of Bonn,68,,179,True,False,True
University of Cologne,University of Cologne,Germany,DE,https://openalex.org/I180923762,https://ror.org/00rcxh774,auto,University of Cologne,151-200,,,True,False,False
University of Freiburg,University of Freiburg,Germany,DE,https://openalex.org/I161046081,https://ror.org/0245cg223,auto,University of Freiburg,101-150,,,True,False,False
University of Goettingen,University of Göttingen,Germany,DE,https://openalex.org/I74656192,https://ror.org/01y9bpm73,manual,University of Goettingen; University of Göttingen,151-200,,187,True,False,True
