rank,display_name,canonical_name,matched_name,country_code,score,works_2020_2024,top10_count,top1_count,top10_share,top1_share,h_index,field_entropy,active_fields,international_collab_proxy_share,oa_share,has_medical_school_or_center,openalex_id,ror_id,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
173,Newcastle University,Newcastle University,Newcastle University,GB,49.09,39649,649113,881,16.371485,3.498903,881,1.564832,6,0.463119,0.777245,True,https://openalex.org/I84884186,https://ror.org/01kj2bm70,,149,
174,Weizmann Institute of Science,Weizmann Institute of Science,Weizmann Institute of Science,IL,49.01,13753,343430,1077,24.971279,5.423793,1077,1.464008,7,0.540796,0.791682,False,https://openalex.org/I53964585,https://ror.org/0316ej306,71,,183
175,Shenzhen University,Shenzhen University,Shenzhen University,CN,48.98,47316,1005876,507,21.258686,5.827431,507,1.240224,5,0.519767,0.475822,False,https://openalex.org/I180726961,https://ror.org/01vy4gh70,,,166
176,Université de Montpellier,University of Montpellier,Université de Montpellier,FR,48.80,54904,683267,743,12.444758,3.049275,743,2.024664,8,0.525319,0.794132,False,https://openalex.org/I19894307,https://ror.org/051escj72,151-200,,
177,Rockefeller University,Rockefeller University,Rockefeller University,US,48.79,5856,195018,1165,33.302254,6.632975,1165,1.651492,6,0.635782,0.881660,True,https://openalex.org/I83399316,https://ror.org/0420db125,29,,125
178,Southeast University,Southeast University,Southeast University,CN,48.71,61601,1162929,592,18.878411,5.336191,592,0.835414,5,0.420657,0.327754,False,https://openalex.org/I76569877,https://ror.org/04ct4d772,101-150,,133
179,Sungkyunkwan University,Sungkyunkwan University,Sungkyunkwan University,KR,48.39,39949,716725,706,17.941000,4.787811,706,1.548157,5,0.524494,0.622569,False,https://openalex.org/I848706,https://ror.org/04q78tk20,151-200,108,
180,Deakin University,Deakin University,Deakin University,AU,48.00,35129,630250,608,17.941017,4.210474,608,1.915034,8,0.563190,0.864670,True,https://openalex.org/I149704539,https://ror.org/02czsnj07,,,142
181,Goethe University Frankfurt,Goethe University Frankfurt,Goethe University Frankfurt,DE,47.89,40008,559125,1004,13.975330,3.160761,1004,1.672219,6,0.465988,0.742377,False,https://openalex.org/I114090438,https://ror.org/04cvxnb49,151-200,,
182,Indiana University Bloomington,"Indiana University, Bloomington",Indiana University Bloomington,US,47.75,22151,506058,877,22.845831,3.471809,877,1.461109,6,0.442663,0.671527,False,https://openalex.org/I4210119109,https://ror.org/02k40bc56,101-150,,155
183,Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin,DE,47.53,36813,633801,778,17.216771,3.766301,778,1.554399,6,0.474568,0.799066,False,https://openalex.org/I39343248,https://ror.org/01hcx6992,,140,51
184,University of Bologna,Alma Mater Studiorum - Università di Bologna,University of Bologna,IT,47.44,62247,870343,890,13.982087,2.971549,890,1.071348,2,0.345873,0.823831,False,https://openalex.org/I9360294,https://ror.org/01111rn36,,123,150
185,University of Geneva,University of Geneva,University of Geneva,CH,47.26,35502,598793,1005,16.866458,4.036991,1005,1.101527,4,0.404703,0.855501,False,https://openalex.org/I114457229,https://ror.org/01swzsf04,58,168,129
186,Korea University,Korea University,Korea University,KR,47.13,34336,677573,646,19.733603,5.425188,646,1.457048,5,0.539584,0.564073,False,https://openalex.org/I197347611,https://ror.org/047dqcg40,,52,
187,The University of Osaka,The University of Osaka,The University of Osaka,JP,47.04,47344,583018,1095,12.314507,3.064246,1095,1.314646,7,0.395313,0.664224,False,https://openalex.org/I98285908,https://ror.org/035t8zc32,,95,
188,Queensland University of Technology,Queensland University of Technology,Queensland University of Technology,AU,47.04,29218,553102,605,18.930180,4.723812,605,1.927059,9,0.591071,0.682114,True,https://openalex.org/I160993911,https://ror.org/03pnv4752,,,172
189,Case Western Reserve University,Case Western Reserve University,Case Western Reserve University,US,46.99,34194,549080,1020,16.057788,3.760845,1020,1.392732,5,0.444523,0.649324,True,https://openalex.org/I58956616,https://ror.org/051fd9666,151-200,,189
190,Stockholm University,Stockholm University,Stockholm University,SE,46.82,33697,584940,949,17.358815,3.994994,949,1.193511,4,0.419543,0.868534,False,https://openalex.org/I161593684,https://ror.org/05f0yaq80,100,167,193
191,Tongji University,Tongji University,Tongji University,CN,46.81,75332,1268392,585,16.837360,4.873222,585,0.417674,3,0.320579,0.521292,False,https://openalex.org/I116953780,https://ror.org/03rc6as71,101-150,146,110
192,University of Massachusetts Amherst,University of Massachusetts--Amherst,University of Massachusetts Amherst,US,46.69,29162,499835,886,17.139942,4.493792,886,1.611869,6,0.521526,0.644332,False,https://openalex.org/I24603500,https://ror.org/0072zz521,,,160
193,Delft University of Technology,Delft University of Technology,Delft University of Technology,NL,46.56,47773,658878,787,13.791849,3.126401,787,1.573934,7,0.446170,0.829276,False,https://openalex.org/I98358874,https://ror.org/02e2c7k09,151-200,48,170
194,"University of California, Santa Barbara","University of California, Santa Barbara","University of California, Santa Barbara",US,46.52,27586,486592,1115,17.639092,4.500766,1115,1.136255,4,0.434287,0.728594,False,https://openalex.org/I154570441,https://ror.org/02t274463,70,173,100
195,Freie Universität Berlin,Freie Universitaet Berlin,Freie Universität Berlin,DE,46.46,40002,592301,733,14.806785,3.804122,733,1.728590,8,0.508537,0.786061,False,https://openalex.org/I75951250,https://ror.org/046ak2485,,98,63
196,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,CN,46.25,53637,1041145,575,19.410948,5.475592,575,0.791952,4,0.419623,0.355445,False,https://openalex.org/I125839683,https://ror.org/01skt4w74,101-150,,152
197,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,CN,46.18,49685,976912,487,19.662111,6.842209,487,0.966723,5,0.520139,0.353145,False,https://openalex.org/I17145004,https://ror.org/01y0j0j86,101-150,,182
198,University of Göttingen,University of Goettingen,University of Göttingen,DE,45.65,47978,541416,858,11.284672,2.112869,858,1.919071,8,0.459053,0.938659,False,https://openalex.org/I74656192,https://ror.org/01y9bpm73,151-200,,187
199,Johannes Gutenberg University Mainz,University of Mainz,Johannes Gutenberg University Mainz,DE,45.59,32895,561226,945,17.061134,3.694370,945,1.189265,5,0.403729,0.748594,False,https://openalex.org/I197323543,https://ror.org/023b0x485,151-200,,
200,Macquarie University,"Macquarie University (Sydney, Australia)",Macquarie University,AU,45.12,33226,518087,647,15.592819,3.387609,647,2.209699,9,0.576311,0.671853,False,https://openalex.org/I99043593,https://ror.org/01sf06y89,,126,173
