canonical_name,display_name,matched_name,country_code,openalex_id,ror_id,works_2020_2024,cited_by_proxy,top10_count,top1_count,top10_share,top1_share,h_index,oa_share,international_collab_proxy_share,field_entropy,active_fields,has_medical_school_or_center,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
Yonsei University,Yonsei University,Yonsei University,KR,https://openalex.org/I193775966,https://ror.org/01wjejq96,54139,963114,963114,683,17.789652561000388,3.8044861799323146,683,0.7005116459483921,0.48499362923154415,1.6006448362872765,6,True,151-200,42,135
Al-Farabi Kazakh National University,Al-Farabi Kazakh National University,Al-Farabi Kazakh National University,KZ,https://openalex.org/I185571130,https://ror.org/03q0vrn42,9293,62723,62723,130,6.749488862584741,2.0231292517006803,130,0.7675669859033681,0.38860351075671073,1.5608837208543902,7,False,,177,
Tecnológico de Monterrey,Tecnológico de Monterrey,Tecnológico de Monterrey,MX,https://openalex.org/I98461037,https://ror.org/03ayjn504,16018,206758,206758,282,12.907853664627295,2.559686888454012,282,0.6491447121987763,0.44752414244874783,1.735152516181247,7,False,,188,603
Universidad Nacional Autónoma de México (UNAM),Universidad Nacional Autónoma de México,Universidad Nacional Autónoma de México,MX,https://openalex.org/I8961855,https://ror.org/01tmp8f25,72891,520826,520826,635,7.14527170706946,1.9985482364228546,635,0.7949403904460084,0.44296054148771347,1.8627250869888805,8,False,,145,
Universiti Kebangsaan Malaysia (UKM),National University of Malaysia,National University of Malaysia,MY,https://openalex.org/I885383172,https://ror.org/00bw8d226,35099,409977,409977,406,11.68058919057523,2.9882938915857604,406,0.7703923188694835,0.47603893657898433,1.7736221868218354,6,False,701-800,130,546
Universiti Malaya (UM),University of Malaya,University of Malaya,MY,https://openalex.org/I33849332,https://ror.org/00rzspn62,34651,466316,466316,599,13.457504833915326,3.1209227115389475,599,0.6732850422787221,0.5225189247051873,1.9900062092296589,7,False,601-700,56,311
Universiti Putra Malaysia (UPM),Universiti Putra Malaysia,Universiti Putra Malaysia,MY,https://openalex.org/I130343225,https://ror.org/02e91jd64,31835,368116,368116,463,11.563247997487043,2.7973920318495225,463,0.7693105073032825,0.5221385344532296,2.0757818112446453,10,False,,138,543
Universiti Sains Malaysia (USM),Universiti Sains Malaysia,Universiti Sains Malaysia,MY,https://openalex.org/I139322472,https://ror.org/02rgb2k63,30044,420073,420073,450,13.981926507788577,3.1510028322062307,450,0.6407602183464253,0.554504270723164,2.155524789693195,9,False,,128,378
Universiti Teknologi Malaysia,University of Technology Malaysia,University of Technology Malaysia,MY,https://openalex.org/I4576418,https://ror.org/026w31v75,28287,363379,363379,433,12.846148407395624,2.8146296118216494,433,0.6397638491179694,0.4510203122408126,1.6849182803078604,7,False,,158,429
Delft University of Technology,Delft University of Technology,Delft University of Technology,NL,https://openalex.org/I98358874,https://ror.org/02e2c7k09,47773,658878,658878,787,13.791848952337094,3.1264014372829823,787,0.829275950850899,0.4461704063758717,1.5739339523616862,7,False,151-200,48,170
Eindhoven University of Technology,Eindhoven University of Technology,Eindhoven University of Technology,NL,https://openalex.org/I83019370,https://ror.org/02c2kyt77,23667,334662,334662,650,14.14044872607428,3.5193546026635447,650,0.85477669328601,0.4538059852729767,1.5087064286681833,6,False,301-400,152,400
Erasmus University Rotterdam,Erasmus University Rotterdam,Erasmus University Rotterdam,NL,https://openalex.org/I913958620,https://ror.org/057w15z03,27359,453336,453336,951,16.56990387075551,3.0648610121168924,951,0.8644321795387259,0.42516248324421346,1.476566270166392,6,True,101-150,148,89
Leiden University,Leiden University,Leiden University,NL,https://openalex.org/I121797337,https://ror.org/027bh9e22,32796,523399,523399,862,15.95923283327235,3.8827864877969938,862,0.8652274667642396,0.38504344880849617,1.0366401114373573,3,False,101-150,119,61
Maastricht University,Maastricht University,Maastricht University,NL,https://openalex.org/I34352273,https://ror.org/02jz4aj89,37497,625931,625931,833,16.692828759634104,3.3298463550179798,833,0.8801770808331333,0.3594220957070048,1.0476397360667358,5,True,301-400,254,183
Radboud University Nijmegen,Radboud University Nijmegen,Radboud University Nijmegen,NL,https://openalex.org/I145872427,https://ror.org/016xsfp80,56315,992597,992597,1247,17.625801296279853,3.8334351993332407,1247,0.869608452454941,0.49069045107653264,1.623719603847974,6,True,101-150,,142
University of Amsterdam,University of Amsterdam,University of Amsterdam,NL,https://openalex.org/I887064364,https://ror.org/04dkp9463,61458,1239228,1239228,1146,20.163819193595625,3.7660815619254224,1146,0.8971818152234046,0.5056858249365276,1.7234339510190835,8,True,101-150,60,39
University of Groningen,University of Groningen,University of Groningen,NL,https://openalex.org/I169381384,https://ror.org/012p63287,50982,984411,984411,1259,19.308991408732492,4.263321377066154,1259,0.9289357027970656,0.5129924500397571,1.6281054909184671,6,True,73,157,77
Utrecht University,Utrecht University,Utrecht University,NL,https://openalex.org/I193662353,https://ror.org/04pp8hn57,79672,1025385,1025385,1077,12.870079827291896,4.0255831937105295,1077,0.9295612009237876,0.5149908072189094,1.7035047212758843,8,False,56,113,54
Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,NL,https://openalex.org/I865915315,https://ror.org/008xxew50,44942,752339,752339,939,16.740220728939523,3.558634131427589,939,0.9045213831160162,0.5786920486905975,2.176193138724882,11,True,151-200,185,91
Wageningen University and Research Center,Wageningen University & Research,Wageningen University & Research,NL,https://openalex.org/I913481162,https://ror.org/04qw24q55,40633,703875,703875,923,17.322742598380625,3.303756246373828,923,0.9550611571875077,0.40555652363714556,1.3052407769922345,5,False,151-200,154,119
NTNU - Norwegian University of Science and Technology,Norwegian University of Science and Technology,Norwegian University of Science and Technology,NO,https://openalex.org/I204778367,https://ror.org/05xg72x27,48703,657306,657306,716,13.496211732336818,2.4668340585068878,716,0.8293328953041907,0.4079159198924435,1.5452837851844663,9,False,151-200,264,238
University of Oslo,University of Oslo,University of Oslo,NO,https://openalex.org/I184942183,https://ror.org/01xtthb56,56759,780611,780611,984,13.753078806885252,2.8473805538889065,984,0.877746260504942,0.44474699540128393,1.6419610162660372,8,False,83,131,105
The University of Auckland,University of Auckland,University of Auckland,NZ,https://openalex.org/I154130895,https://ror.org/03b94tp07,40374,635466,635466,763,15.739485807698024,3.3092873051224942,763,0.6734779808787834,0.5225806160261868,1.939198700508584,10,True,201-300,67,117
University of Otago,University of Otago,University of Otago,NZ,https://openalex.org/I80281795,https://ror.org/01jmxt844,23708,347458,347458,646,14.655728024295597,2.805135620700232,646,0.6972751813733761,0.48063769118241045,1.8483231082664022,8,True,401-500,198,290
Qatar University,Qatar University,Qatar University,QA,https://openalex.org/I60342839,https://ror.org/00yhnba62,19168,416961,416961,362,21.752973706176963,5.158292839460897,362,0.7066986644407346,0.6087576766945522,1.905134128025156,9,False,501-600,109,262
